Comune;Provincia;Localit ;Tipologia;Tipologia secondaria;Categoria;Stelle;Denominazione;Indirizzo;Numero civico;Interno;CAP;Telefono;FAX;Posta elettronica;Sito internet;Zona;Accesso ai disabili;Piscina;Piscina coperta;Ristorante;Parcheggio;Sala conferenze;Aria condizionata;Giochi bimbi;Sauna;Solarium;Fitness;Animali ammessi;Centro storico;Zona fiera;Lago;Aeroporto;Autostrada;Impianti risalita;Stazione FS;Mare;Termale;Periferia;Collinare;Inglese;Francese;Tedesco;Spagnolo;Chiusura temporanea;Altri servizi;Codice identificativo;Data ultima modifica;Nuova classificazione LR11
VERONA;VERONA;;AFFITTACAMERE;;3;;AI LEONI;Via XX Settembre;7;;37129;348 4746880;;aileoni@libero.it;www.aileoni.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;112243;42754;2 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;ALLOGGIO LA PESA;Via Poiano;133;;37142;045550368;;lapesaverona@gmail.com;www.camereverona.com;verona;No;No;No;No;Si;No;Si;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;Si;Si;Si;No;No;No;No;wi-fi .  la somministrazione alimenti si riferisce alla prima colazione -;487;42858;3 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;ALLOGGIO LE CASETTE;VICOLO SAN LORENZO;6;;37122;0458007512;0458004058;alloggio.lecasette@gmail.com;;verona;Si;No;No;No;Si;No;No;No;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;Si;No;No;;50204;42783;3 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;ARCOBALENO;Via Gian Battista da Monte;18;;37126;0457514243 - 3338266357;0459578125;info@arcobalenoverona.com;;verona;No;No;No;No;No;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;;45760;42811;3 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;CASA FOLA;Vicolo Pietrone;8;;37100;0459231244;0459231244;info@casafola.com;www.casafola.com;verona;Si;No;No;No;Si;No;Si;No;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;Si;No;colazione con convenzione presso bar;75600;42859;2 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;CASA NICOLIS;Via del Pestrino;46;;37100;045534300;045534300;nicolismatteo@yahoo.it;;verona;No;No;No;No;Si;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;;493;42223;
VERONA;VERONA;;AFFITTACAMERE;;3;;CASA PANVINIO;Lungadige Panvinio;19/a;;37121;045 8031251;045 8031251;info@casapanvinio.it;;verona;No;No;No;No;No;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;Si;No;prima colazione con convenzione al bar;69880;42773;2 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;CORTE MERIGHI ROOMS AND BREAKFAST;Via Vittorio Merighi;1/a;;37138;3913553522;;corte.merighi@gmail.com;www.cortemerighi.it;verona;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;Si;Si;No;No;No;;92060;42832;3 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;CQ ROOMS VERONA;Via Roveggia;17/g;;37136;045580506;;info@cqroomsverona.com;www.cqroomsverona.com;verona;Si;No;No;No;Si;No;Si;No;No;No;No;No;No;Si;No;No;Si;No;No;No;No;No;No;Si;No;No;No;No;;98982;42830;2 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;LENOTTI;Via Luigi Lenotti;4/c;;37123;045 8006809;045 2588123;info@lenottiverona.com;www.lenottiverona.com;verona;No;No;No;No;No;No;Si;No;No;No;No;No;Si;Si;No;No;Si;No;Si;No;No;No;No;Si;Si;No;Si;No;;71520;42864;2 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;LOCANDA IPPOPOTAMO;Via Dietro Listone;10;;37121;045-8036370;045-8036295;zaniniristorazione@libero.it;www.ippopotamo.com;verona;Si;No;No;No;No;No;Si;No;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;Si;Si;No;;51443;42786;2 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;LOFTVERONA;Via San Marco;36;;37138;0458033752;0458010490;info@loftverona.com;loftverona.com;verona;No;No;No;No;No;No;Si;No;No;No;No;Si;No;No;No;No;No;No;Si;No;No;No;No;Si;No;No;No;No;;59160;42836;3 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;MANTOVANI CRISTINA;Via delle Menegone;35;;37134;045 8230830;045 8201464;cameremantovani@hotmail.it;;verona;No;No;No;No;Si;No;Si;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;;484;42828;3 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;RELAIS CHERI;Corso Milano;2;;37138;3923224040;;roberto.pitozzi1977@gmail.com;;verona;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;Si;No;Si;No;No;;486;42783;2 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;RESIDENZA CANTORE;Via Antonio Cantore;1;;37121;338 7460520;045 2227060;info@residenzacantoreverona.com;www.residenzacantore.com;verona;No;No;No;No;No;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;wi-fi;87320;42745;3 Leoni
VERONA;VERONA;;AFFITTACAMERE;;3;;RESIDENZA CUORDIVERONA;Piazza Cittadella;9;;37100;045 9299869;045 9299869;info@cuordiverona.com;;verona;Si;No;No;No;No;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;la colazione viene erogata attraverso convenzione con bar/pasticceria;50091;41820;
VERONA;VERONA;;AFFITTACAMERE;;3;;RESIDENZA FONTANA DEL FERRO;Via Fontana del Ferro;30/b;;37129;045/8003467;;info@allafontanadelferro.com;www.allafontanadelferro.com;verona;Si;No;No;No;No;No;Si;No;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;Si;No;;52061;41155;
VERONA;VERONA;;AFFITTACAMERE;;3;;ROMEO HOUSE;VIA CAMPAGNOL DI TOMBETTA;77;;37100;045/6210359;045/7210562;info@romeohouse.it - r.peretti@libero.it;;verona;No;No;No;No;No;No;Si;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;Si;Si;Si;No;No;;69300;41988;
VERONA;VERONA;;AFFITTACAMERE;;3;;TAMBIEN TU CASA VIP;Vicolo Calcirelli;25;;37122;340/8518380;;federica.antonini@hotmail.it;;verona;No;No;No;No;No;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;No;Si;No;;495;42976;2 Leoni
VERONA;VERONA;;AGRITURISMO;;;;AGR. AI FRUTTETI;Via Bernini Buri;10;;37100;045974120 - 335268788;045.974120;posta@aifrutteti.it;www.aifrutteti.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;42790;42632;
VERONA;VERONA;;AGRITURISMO;;;;AGRICAMPEGGIO CORTE FINILETTO DI MARAIA DANIELA;Strada Bresciana;41;;37139;340.6075017;045.8905265;info@cortefiniletto.it;www.cortefiniletto.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;49514;42611;
VERONA;VERONA;;AGRITURISMO;;;;AGRICAMPEGGIO VERONA DI ORLANDI GIOVANNI;Strada Bresciana;86;;37139;347.8360000;;;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;101243;42331;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO ALLE TORRICELLE DI DAL NEGRO FIORELLA;Via Bonuzzo Sant\'Anna;4;;37100;045 - 8300230 - 3485623195;0458300230;info@agriturismotorricelle.com;www.agriturismotorricelle.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47346;42501;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO ALTOBELLO DI ALTOBELLO MONICA;Via Volte Maso;25;;37100;0458301803 - 3471128381;0458302662;info@agriturismoaltobello.it;www.agriturismoaltobello.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18473;42037;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO CA\' LA PERGOLA;Via Bresciana;51;;37100;340 1087230;045 989627;info@calapergola.com;www.calapergola.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;67360;41380;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO CORTE BOARIA DI ZIVELONGHI GIUSEPPE;Via Terminon;2;;37100;045540000 - 3932054987;045540000;info@corteboaria.it;www.corteboaria.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;46316;39927;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO CORTE MACCINI DI CAMPARA GUGLIELMINA;Via Cancello;;;37100;045988007;045988007;cortemaccini@tiscali.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;45529;42445;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO CORTE MORANDA;Via Gazzego;2/a;;37100;045.523127 / 347 1048413 / 347 8564259;;agriturismo@cortemoranda.it;www.cortemoranda.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;74160;42585;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO CORTE SAN FELICE;via Belvedere - frazione San Felice;123/a;;37131;045.8400317;;info@cortesanfelice.it;www.cortesanfelice.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;94980;41830;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO DAL CHECCO;Via Ferrarin;3/A;;37139;045 - 566436 - 3473906226;0458511344;info@agriturismodalchecco.it;www.agriturismodalchecco.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;44568;42556;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO DELL\'ORTO DI MARTINELLI ROBERTA;Via della Diga;9/b;;37124;045-942150 - 338.4684443;045.8388819;info@agriturismodellorto.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;64140;41320;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO DELO DI CIPRIANO MARIANTONIA;Via San Fenzo;;;37100;045-4858380 - 045-8841090 - 333-4753688;045 - 4858395;info@agriturismodelo.it;www.agriturismodelo.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47343;40396;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO DELSER ALBERTO;Localit  Pigno - S.Dionisio - Strada dei Monti;14/b;;37100;045 8011098 - 339 8153601;045 3194043;info@delserverona.com;www.delserverona.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;52410;41227;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO GARDAFARM;via Gardesane;91/b;;37100;340 2212375 - 335 348733;045 7900943;vivaistrambini@libero.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;110582;42408;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO IL PIANETTO DI EDERLE ANNA GIULIA;Viale dei Colli;49/d;;37100;045-48342416 / 340-9623330;;ilpianetto@gmail.com;www.ilpianetto.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;50126;42661;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO IL PORCELLINO DI ZENATELLI FULVIO;Frazione Quinto, via S.Vincenzo;7;;37100;045 563773 - 349 4463505;;fulviozenatelli@yahoo.it;www.agriturismoilporcellino.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;49798;42752;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO LA PERLARA DI ANNICHINI PIERANGELO;Via Trezzolano;17;;37100;045 - 988121;045 - 988142;laperlara@agriturismolaperlara.com;www.agriturismolaperlara.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47345;42759;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO LE ALBERE;Via del Vegron;8;;37100;045 - 8840171;;amelioturco@gmail.com;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47228;42947;
VERONA;VERONA;;AGRITURISMO;;;;"AGRITURISMO ""LE CASE DI CAMPAGNA"" DI PASQUETTO MARCELLO";Via Chioda;238;;37136;328 2223476;045 8619318;info@lecasedicampagna.it;www.lecasedicampagna.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;49355;40396;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO MACOLE;via San Vincenzo;8;;37142;335-7374346;;info@macole.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;192593;42893;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO MONRO;Via Bartolomeo Avesani;13;;37100;348 5815001 - 348 5815003;;agricola_monro@hotmail.com;www.corteagricolamonro.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;158668;42702;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO SAN DIONIGI DI FACCIO RENZO;Lungadige Attiraglio n.57;;;37025;045942205;0458890015;san.dionigi@libero.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18468;39927;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO SAN DIONIGI DI GUGOLE MARIO;Strada dei Monti;5;;37100;328 3374337;;mariogugole@icloud.com;www.sandionigi.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47226;42668;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO SAN FAUSTINO DI ZAMBONI ROBERTA;Via Bisano;2;;37100;045 988285 - 342 0338293;045 988285;maxagrisanfaustino@teletu.it;www.agrisanfaustino.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47350;42410;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO SOMMAVALLE DI MARCO CALTRONI;Via Sommavalle;9/a;;37128;3461404242;0458350502;info@sommavalle.it;www.sommavalle.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;46318;42773;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO SPIGOLO DI RIGO MICHELA;Strada per Montecchio;6/d;;37100;0458350960 - 347 - 7901191;0458389388;mail@agrispigolo.com;www.agrispigolo.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47277;42443;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO VENTURI FEDERICO;via Legnago - Strada le Grazie;;;37100;348-4430081;348-4430081;;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;121943;42438;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO VILLA L\'OLIVETA;Via San Mattia;16;;37128;347-2544315;045 500488;info@villadonatelli.com;www.villadonatelli.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;46700;43007;
VERONA;VERONA;;AGRITURISMO;;;;AGRITURISMO VITICCIO DEI RONCHI RELAIS DI BALTIERI ANDREA (CHIUSURA TEMPORANEA);Via Bisano;11;;37141;0458841073 - 3478146775;0458841073;info@viticciodeironchi.it;www.viticciodeironchi.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;45372;42654;
VERONA;VERONA;;AGRITURISMO;;;;ALLE QUATTRO STAGIONI DI MAZZI ALBERTO;Via Chioda;199;;37136;045.513786 / 348.0406837 / 347.8948320;045.513786;allequattrostagioni@libero.it;www.allequattrostagioni.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;52048;41687;
VERONA;VERONA;;AGRITURISMO;;;;AZIENDA AGRICOLA DEI BABE;via Are Zovo;22/a;;37100;045.8901119;;info@babeagritur.com;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;66940;41600;
VERONA;VERONA;;AGRITURISMO;;;;BACCHE DI BOSCO;Via Bionde;11;;37139;340 3710787;045 8900673;info@bacchedibosco.com;www.bacchedibosco.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;59820;42817;
VERONA;VERONA;;AGRITURISMO;;;;CA\' DEL ROCOLO DI CORAZZA G.;Via Gaspari, 3;;;37034;045/8700879;045/8700879;info@cadelrocolo.com;www.cadelrocolo.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18471;41687;
VERONA;VERONA;;AGRITURISMO;;;;CARANATURA DI CARA FRANCESCO;loc. Mizzole via Prove;4/A;;37100;045-557692 oppure 339-2667095;;;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;174659;42790;
VERONA;VERONA;;AGRITURISMO;;;;CASA ROSA Agriturismo di Trevisani Marco;Via Pradelle;55;;37131;045528713 - 3409794992;045528713;info@casarosaverona.it;www.casarosaverona.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18470;39927;
VERONA;VERONA;;AGRITURISMO;;;;COLLE SAN FELICE DI DAL FORNO ADRIANA;Via Torricelle;1;;37100;3469432586;;agriturismo@collesanfelice.it;www.collesanfelice.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47347;42837;
VERONA;VERONA;;AGRITURISMO;;;;CORTE ALL\'OLMO DI BRUTTI VANDA;via Ca\' Nova Toro - frazione Ca\' di David;39;;37100;045.8550565;;info@corteallolmo.it;www.corteallolmo.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;50470;42891;
VERONA;VERONA;;AGRITURISMO;;;;CORTE CAROLINA DI ZANONI GEMMA;Via Ponte Verde Loc. Montorio;18;;37141;045 557979 - 348 4035163;045 557979;info@cortecarolina.com;www.cortecarolina.com;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;48895;42114;
VERONA;VERONA;;AGRITURISMO;;;;DALLA MARMOTTA DI CIPRIANI MARIA CRISTINA;Via Mantovana;104;;37137;340.3907450;;dallamarmotta@gmail.com;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;54402;42767;
VERONA;VERONA;;AGRITURISMO;;;;FERRARI MATTEO;via Torricelle;2/b;;37128;045 8349703 - 348 0673520;;ferrarima@yahoo.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;97863;42186;
VERONA;VERONA;;AGRITURISMO;;;;FORMENTI MARIO;Via Belvedere;38/a;;37100;045 - 8400475;;formenti.mario@libero.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47227;40396;
VERONA;VERONA;;AGRITURISMO;;;;IL ROMITORIO;VIA VOLTE MASO;33;;37125;045 8621756;045 8621756;fiorilloan@tiscali.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47188;40396;
VERONA;VERONA;;AGRITURISMO;;;;LA FINESTRA SULL\'ADIGE DI STERZI ANTONIO;Via Bernini Buri;23;;37132;045.8921318 - 339.6957447;045.8921318;agricolasterzi@alice.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;60020;42760;
VERONA;VERONA;;AGRITURISMO;;;;LA VINERIA DI EDERLE GIOVANNI MATTIA;Via Sommavalle;1;;37128;045.8301711 - 340.1580887;045.8341977;info@cantinaederle.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;62480;41292;
VERONA;VERONA;;AGRITURISMO;;;;RELAIS VILLA  AMBROSETTI;loc. Avesa via San Martino;10;;37100;045-8345652;;info@villaambrosetti.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;191602;42886;
VERONA;VERONA;;AGRITURISMO;;;;RELAIS VILLA SAGRAMOSO SACCHETTI;via G.B. Dalla Riva;5;;37139;333.7236582;;info@villasagramososacchetti.it;www.villasagramososacchetti.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;56033;41089;
VERONA;VERONA;;AGRITURISMO;;;;SAN MATTIA (AGRITURISMO);Via Santa Giuliana;2/a;;37128;045/913797 - 0458343432;0458341977;informazioni@sanmattia.it;www.sanmattia.it;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18469;42780;
VERONA;VERONA;;ALBERGO;Albergo;;1 *;ALBERGO ALL\'INCONTRO;Via Mantovana;138;;37139;0458622251;0458646001;all.incontro@libero.it;;verona;No;No;No;Si;Si;No;Si;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;Si;No;Si;No;Si;No;No;;3496;42661;1 *
VERONA;VERONA;;ALBERGO;Albergo;;1 *;ALBERGO ARENA;Stradone Porta Palio;2;;37122;0458032440;0458032440;info@albergoarena.it;www.albergoarena.it;verona;No;No;No;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;Si;Si;No;;3465;41548;
VERONA;VERONA;;ALBERGO;Albergo;;1 *;ALBERGO SERENISSIMA;Viale del Lavoro;24;;37135;045501858;;hotelserenissima26@gmail.com;;verona;No;No;No;Si;Si;No;Si;No;No;No;No;No;No;Si;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;;3491;42866;
VERONA;VERONA;;ALBERGO;Albergo;;1 *;CAVOUR DEPENDANCE;Vicolo Chiodo;4;;37100;045590166;045590508;info@hotelcavourverona.it;www.hotelcavourverona.it;verona;No;No;No;No;No;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;Si;No;No;;3500;42846;1 *
VERONA;VERONA;;ALBERGO;Albergo;;1 *;HOTEL PORTA SAN ZENO;Corso Milano;26;;37139;045565156;045573233;info@hotelportasanzeno.it;www.hotelportasanzeno.it;verona;Si;No;No;Si;Si;No;Si;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;Si;No;Si;Si;Si;Si;No;;3483;41660;
VERONA;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO AL CASTELLO;Vicolo Brusco;4;;37139;0458015588;0458046606;info@albergoalcastello.191.it;;verona;No;No;No;No;No;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;;3458;41341;
VERONA;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO ELENA;Via Mastino della Scala;9;;37134;0458200920;0458204966;info@hotelelenavr.it;www.hotelelenavr.it;verona;No;No;No;No;Si;No;Si;No;No;No;No;Si;No;Si;No;No;Si;No;No;No;No;No;No;Si;Si;No;No;No;;3461;42747;2 **
VERONA;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO FONTANA;Via Mameli;148;;37124;0458352615;0458310827;info@albergofontana.com;www.albergofontana.com;verona;No;No;No;No;Si;No;Si;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;No;No;;3498;42747;2 **
VERONA;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO SANMICHELI;Via Valverde;2;;37122;0458003749;0458004508;info@sanmicheli.com;www.sanmicheli.com;verona;No;No;No;No;Si;No;Si;No;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;No;No;No;internet wireless;3460;42747;2 **
VERONA;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO SIENA;Via Marconi;41;;37121;0458003074;0458002182;info@hotelsiena-verona.it;www.hotelsiena-verona.it;verona;No;No;No;No;Si;No;Si;No;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;Si;Si;No;;3482;42747;2 **
VERONA;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO SIROS;Via Bengasi;26;;37134;0458204123;045582203-8277941;siros@hotelsiros.it;www.hotelsiros.it;verona;No;No;No;No;Si;No;Si;No;No;No;No;No;No;Si;No;No;Si;No;No;No;No;No;No;Si;No;No;No;No;;3447;42754;2 **
VERONA;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO TORCOLO;Vicolo Listone;3;;37121;0458007512 - 0458003871;0458004058;hoteltorcolo@virgilio.it;www.hoteltorcolo.it;verona;No;No;No;No;Si;No;Si;No;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;Si;Si;No;;3433;42747;2 **
VERONA;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO TRENTO;Corso Porta Nuova;36;;37122;045596444 - 045596037;045591208;info@albergotrento.it;www.albergotrento.it;verona;No;No;No;No;Si;No;Si;No;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;No;No;No;il costo della colazione pari a  Euro 10,00 e\' da intendersi a persona;3467;42797;2 **
VERONA;VERONA;;ALBERGO;Albergo;;2 **;DEPANDANCE VERONA;Corso Porta Nuova;43;;37100;045595944;;hotelverona@pec.wintrade.it;www.hotelverona.com;verona;No;No;No;No;Si;No;Si;Si;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;166542;42697;2 **
VERONA;VERONA;;ALBERGO;Albergo;;2 **;DIPENDENZA ALBERGO FONTANA;VIA MAMELI;148/A;;37124;0458352615;0458310827;info@albergofontana.com;www.albergofontana.com;verona;No;No;No;No;Si;No;Si;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;No;No;;51428;42747;2 **
